"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Fairfax","Kung Fu Tea","Kung Fu Tea","SAFY-AFXRWT","Food Establishment","Fast Food Restaurant","Permitted","1","","NULL","Smoke Free","None","12","11/22/2016","12/5/2016","12/21/2016","12/31/2018","6757 Wilson Blvd, #10 &11","FALLS CHURCH","22044","NULL","NULL"
"EHD - Rappahannock","Sbarro (Food Court)","Sbarro","LBAY-6QGLPH","Food Establishment","Carry Out Food Service Only","Surrendered","3","","NULL","Smoke Free","","NULL","5/31/2006","6/13/2007","6/13/2007","12/31/2014","0 Spotsylvania Town Center Space #445","Fredericksburg","22407","NULL","NULL"
"EHD - Fairfax","New Catina","New Catina","MVVE-5CE3RM","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","1/1/2002","1/1/2002","1/1/2003","12/31/2007","6757 Wilson Blvd #10/11","Falls Church","22044","NULL","NULL"
"EHD - Fairfax","Wellesley Inn & Suites","Wellesley Inn & Suites","MVVE-5CE37V","Food Establishment","Hotel continental breakfast","Surrendered","4","","NULL","Non-Smoking","","NULL","2/1/2002","2/1/2002","2/1/2002","12/31/2005","10327 Lee Hwy","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Wellesley Inn","Wellesley Inn","MVVE-5CDVD9","Food Establishment","Hotel continental breakfast","Surrendered","","","NULL","Non-Smoking","","NULL","2/1/2001","2/1/2001","2/1/2001","1/31/2002","10327 Lee Hwy","Fairfax","22030","NULL","NULL"
"EHD - Richmond","8 1/2","8 1/2","AGML-5W5SE2","Food Establishment","Carry Out Food Service Only","Permitted","3","YES","NO","Smoke Free","Grease Trap (Exterior)","4","1/12/2004","2/13/2004","1/4/2023","12/31/2023","401 North Strawberry Street","Richmond","23220","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Uncle Ottie’s BBQ,","Uncle Ottis's BBQ","DVIS-5YHPNK","Food Establishment","Mobile food unit","Surrendered","2","","NULL","Smoke Free","","NULL","4/28/2004","4/28/2004","1/1/2008","12/31/2008","22457 Horseman Lane","Abingdon","24210","NULL","NULL"
"EHD - Prince William","Steak-Out Restaurant","Steak-Out Restaurant","AVEA-5ELK43","Food Establishment","Carry out only","Surrendered","4","","NULL","","","NULL","10/4/2002","4/3/2003","6/8/2004","4/3/2005","2930 Dale Blvd","Dale City","22193","NULL","NULL"
"EHD - Alexandria","DC Slices","DC Slices #2","#REF!","Food Establishment","Mobile Food Unit","Business Closed","1","NO","NO","Smoke Free","Other","11","6/3/2014","6/30/2014","1/1/2019","12/31/2022","3533 Columbia Pike Apt A","Arlington","22206","NULL","NULL"
"EHD - Alexandria","DC Slices","DC Slices #4","#REF!","Food Establishment","Mobile Food Unit","Business Closed","2","NO","NO","Smoke Free","Other","6","5/28/2019","NULL","NULL","12/31/2021","3533 Columbia Pike Apt A","Arlington","22206","NULL","NULL"
"EHD - Rappahannock","Crave, LLC","Crave, LLC","DCOO-89QM84","Food Establishment","Caterer","Surrendered","4","","NULL","Smoke Free","","NULL","9/21/2010","NULL","NULL","NULL","1141 Heathstone Drive","Fredericksburg","22407","NULL","NULL"
"EHD - Western Tidewater","Island Express","Island Express","MBRR-599QN2","Food Establishment","Mobile food unit","Surrendered","3","","NULL","","","NULL","9/23/2002","9/23/2002","9/23/2002","9/30/2003","1408 South Street","Franklin","23851","NULL","NULL"
"EHD - Western Tidewater","Island Express","Tricia's Food","MBRR-5LDLBX","Food Establishment","Commissary","Surrendered","2","","NULL","","","NULL","4/7/2003","NULL","NULL","NULL","1408 South Street","Franklin","23851","NULL","NULL"
"EHD - Western Tidewater","Island Express","Island Express","MBRR-586QAC","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","12/20/2001","12/20/2001","12/20/2001","6/30/2003","1408 South Street","Franklin","23851","NULL","NULL"
"EHD - Prince William","Lake Ridge Baptist Church","Lake Ridge Baptist Church","JSUZ-55EN2R","Food Establishment","Child Care Food Service","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","9/18/2002","11/20/2002","10/23/2012","11/30/2013","12450 Clipper Dr","Woodbridge","22192","NULL","NULL"
"EHD - Prince William","Avalos Food Service Inc.","Avalos Food Service Inc.","AVEA-5R3LEG","Food Establishment","Mobile food unit","Surrendered","4","","NULL","","","NULL","9/4/2003","10/1/2003","10/1/2003","10/1/2004","9710 Brent Street","Manassas","20110","NULL","NULL"
"EHD - Rappahannock","Zum Rheingarten","Zum Rheingarten","ECAL-574UFH","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","3","7/18/2001","10/1/2001","1/1/2017","12/31/2017","3998 Jefferson Davis Highway","Stafford","22554","NULL","NULL"
"EHD - Peninsula","Southern Pit","Southern Pit","CPUT-5B3GPJ","Food Establishment","Restaurant","Surrendered","3","","NULL","Restricted","","NULL","1/31/2003","1/1/2003","2/3/2003","12/31/2003","8536 Pocahontas Trail","Williamsburg","23187","NULL","NULL"
"EHD - Peninsula","Southern Pit","Lydia Cafe","CJON-5SRT89","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","10/24/2003","11/1/2003","11/14/2003","10/31/2004","8536 Pocahontas Trail","Williamsburg","23187","NULL","NULL"
"EHD - Richmond","Linden Row Inn","Linden Row Inn","HMES-7CTK8S","Food Establishment","Hotel Continental Breakfast","Surrendered","2","","NULL","Smoke Free","None","6","3/17/2008","4/8/2008","4/1/2016","3/31/2017","100 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Urban Farmhouse Market & Cafe’","Urban Farmhouse Market & Cafe'","#REF!","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","Grease Trap (Interior)","6","1/12/2017","2/6/2017","1/1/2019","12/31/2019","100 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Linden Row Inn","Linden Row Inn","SYOG-58G24D","Food Establishment","Hotel Continental Breakfast","Surrendered","2","","NULL","","","NULL","1/1/2002","1/1/2002","1/1/2007","12/31/2007","100 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Linden Row Inn","Linden Row Inn","AGML-783RY9","Food Establishment","Hotel Continental Breakfast","Surrendered","2","","NULL","Non-Smoking","Grease Trap (Interior)","NULL","1/1/2002","1/1/2002","1/1/2008","12/31/2008","100 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Prince William","El Poblanito Market","El Poblanito Market","AJOS-7JDRUG","Food Establishment","Carry Out Food Service Only","Surrendered","4","","NULL","Non-Smoking","","NULL","9/9/2008","NULL","NULL","NULL","9792 Center St","Manassas","20110","NULL","NULL"
"EHD - Fairfax","Subway","Subway","DSHR-8E4MQF","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","1/13/2011","2/4/2011","2/15/2011","12/31/2013","9476 Main St","Fairfax","22031","NULL","NULL"
"EHD - Fairfax","Subway","Subway","SAFY-9C9HP5","Food Establishment","Fast Food Restaurant","Permitted","1","","NULL","Smoke Free","None","12","10/7/2013","10/9/2013","10/9/2013","12/31/2019","9476 Main St","Fairfax","22031","NULL","NULL"
"EHD - Fairfax","Subway","Subway","MVVE-5CDV52","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","","6","2/1/2002","2/1/2002","1/1/2003","12/31/2011","9476 Main St","Fairfax","22031","NULL","NULL"
"EHD - Richmond","Meadowbridge Child Care Center","Meadowbridge Child Care Center","SYOG-58G2GS","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","None","NULL","1/1/2002","1/1/2002","1/1/2012","12/31/2012","3306 Meadowbridge Road","Richmond","23222","NULL","NULL"
"EHD - Richmond","Stick To It","Stick to It","#REF!","Food Establishment","Mobile Food Unit","Business Closed","2","NO","NO","Exempt","None","6","8/7/2017","8/7/2017","8/7/2017","9/30/2018","1011 Hull Street","Richmond","23225","NULL","NULL"
"EHD - Richmond","Eastern Hospitality","Eastern Hospitality","HMES-789P5G","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Non-Smoking","None","NULL","8/1/2007","10/23/2007","10/23/2007","9/30/2008","4303 Commerce Rd","Richmond","23234","NULL","NULL"
"EHD - Richmond","Casablanca Coffee","Casablanca Coffee","AGML-6KPTLC","Food Establishment","Other Food Service","Surrendered","3","","NULL","Restricted","","NULL","11/7/2005","12/6/2005","1/1/2007","12/31/2007","1106 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Mezza","Mezza","HMES-7BBSWU","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","1/29/2008","1/31/2008","1/1/2011","12/31/2011","1106 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Arlington","Gallery Bar(I)","Samuel Adams DC Brewhouse (INACTIVE)","NGOZ-5TWKGE","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","","6","11/12/2003","12/4/2003","11/27/2013","12/31/2014","WNA-Terminal A/Post Security","Washington","20001","NULL","NULL"
"EHD - Arlington","Gallery Bar(I)","Gallery Bar(INACTIVE)","OGAA-9J7L9H","Food Establishment","Convenience Store Food Service","Surrendered","2","","NULL","Smoke Free","","6","4/15/2014","4/15/2014","1/1/2015","12/31/2015","WNA-Terminal A/Post Security","Washington","20001","NULL","NULL"
"EHD - Arlington","Taste of Tagliere/Boar’s Head Deli(I)","Jerry's Subs & Pizza/Allie's Deli (INACTIVE)","NGOZ-677MM2","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","","4","11/29/2004","11/29/2004","11/27/2013","12/31/2014","WNA-Terminal A/Post Security","Washington","20001","NULL","NULL"
"EHD - Arlington","Taste of Tagliere/Boar’s Head Deli(I)","Taste of Tagliere/Boar's Head Deli(INACTIVE)","OGAA-9J7LFY","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","","6","4/15/2014","4/15/2014","1/1/2015","12/31/2015","WNA-Terminal A/Post Security","Washington","20001","NULL","NULL"
"EHD - Alleghany-Roanoke","106 Jefferson Street, SE","Bread Craft","KHAN-7ZFSYM","Food Establishment","Fast Food Restaurant","Out of Business","2","","NULL","Smoke Free","None","6","12/28/2009","1/8/2010","2/1/2015","1/31/2016","106 Jefferson Street SE","Roanoke","24011","NULL","NULL"
"EHD - Mount Rogers","L & N Restaurant","L & N Restaurant","SBRS-659PYT","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","9/28/2004","10/8/2004","10/12/2005","12/31/2005","6778 W. Lee Hwy.","Rural Retreat","24368","NULL","NULL"
"EHD - Mount Rogers","Discovery Island at Edgemont-CLOSED","198-Fee-Food-Discovery Island II at Edgemont Center","MFEL-5C7RJW","Food Establishment","Child Care Food Service","Surrendered","1","","NULL","Non-Smoking","","NULL","4/25/1994","4/25/1994","1/1/2003","12/31/2003","100 Edgemont Road","Wytheville","24382","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Edgemont Center Inc","Edgemont Center-CLOSED","MFEL-5C7PNE","Food Establishment","Nursing Home Food Service","Surrendered","3","","NULL","Smoke Free","None","4","5/6/1998","5/6/1998","1/1/2015","12/31/2015","100 Edgemont Road","Wytheville","24382","NULL","NULL"
"EHD - Mount Rogers","210-CLOSED-Fee-Food-Proximity Lounge & Restaurant-","210-CLOSED-Fee-Food-Proximity Lounge & Restaurant","SBAE-85DPEA","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Outdoor smoking area","","4","5/5/2010","NULL","NULL","NULL","110 East Washington St.","Galax","24333","NULL","NULL"
"EHD - Mount Rogers","210-CLOSED-Fee-Food-Proximity Lounge & Restaurant-","Parrott Bay","KWEB-6VMSSB","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Restricted","","NULL","11/16/2006","11/17/2006","1/1/2009","12/31/2009","110 East Washington St.","Galax","24333","NULL","NULL"
"EHD - Richmond","Get Tight Lounge","Get Tight Lounge","#REF!","Food Establishment","","Permitted","2","NO","NO","Smoke Free","Grease Trap (interior)","6","6/27/2022","7/7/2022","7/7/2022","6/30/2023","1104 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Roxy Cafe","Roxy Cafe","HMES-7DRQSM","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (interior)","4","3/28/2008","4/16/2008","4/1/2019","3/31/2020","1104 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Roxy Cafe","Roxy Cafe","AGML-5LGREV","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Restricted","","NULL","4/10/2003","4/28/2003","4/1/2007","3/31/2008","1104 West Main Street","Richmond","23220","NULL","NULL"
"EHD - Eastern Shore","La Fiesta Mexican Restaurant","La Fiesta Mexican Restaurant","STHS-6XBJ4A","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","","","NULL","1/5/2007","NULL","NULL","NULL","21229 S. Bayside Road","Cheriton","2334723316","NULL","NULL"
"EHD - Alleghany-Roanoke","617 South Jefferson St","Hunters Grille","KCHS-5DUPCH","Food Establishment","Restaurant","Surrendered","4","","NULL","Restricted","","NULL","5/22/2003","6/1/2003","6/1/2003","5/31/2004","617 South Jefferson St","Roanoke","24011","NULL","NULL"
"EHD - Alleghany-Roanoke","617 South Jefferson St","Hunters Catering","KHAN-5ZEHGY","Food Establishment","Caterer","Surrendered","4","","NULL","Non-Smoking","","NULL","4/9/2004","4/13/2004","4/13/2007","4/12/2008","617 South Jefferson St","Roanoke","24011","NULL","NULL"
"EHD - Richmond","Rooster Cart","Rooster Cart","HMES-8Q2SGF","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Exempt","None","NULL","12/30/2011","1/27/2012","1/27/2012","3/31/2013","2901 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Dixie Donuts","Dixie Donuts","HMES-8TEPPH","Food Establishment","Carry Out Food Service Only","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","4/16/2012","5/11/2012","NULL","NULL","2901 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Dixie Donuts","Cafe Ole` Carytown","HMES-89HLAX","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","9/21/2010","11/17/2010","11/18/2011","12/31/2012","2901 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Dixie Donuts","Dixie Donuts","#REF!","Food Establishment","Carry Out Food Service Only","Business Closed","2","NO","NO","Smoke Free","Grease Trap (Interior)","6","6/1/2015","7/1/2015","7/1/2015","6/30/2016","2901 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Sen Organic Small Plate","Sen Organic Small Plate","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (interior)","4","6/16/2016","8/8/2016","9/1/2022","9/30/2023","2901 West Cary Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Bethlehem Baptist Child Development Ctr","Bethlehem Baptist Child Development Center","SYOG-58G2AS","Food Establishment","Child Care Food Service","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","1/1/2002","1/1/2002","1/1/2011","12/31/2011","1920 Fairmount Avenue","Richmond","23223","NULL","NULL"
"EHD - Rappahannock","Maries Shaved Ice","Maries Shaved Ice","ECAL-5BWRUC","Food Establishment","Mobile food unit","Surrendered","1","","NULL","","","NULL","7/10/2002","7/10/2002","7/10/2002","6/30/2003","245 Aquia Creek Road","Stafford","22554","NULL","NULL"
"EHD - Fairfax","Mai’s Vietnamese Restaurant","Mai's Vietnamese Restaurant","GNAN-67JQWV","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","","","NULL","12/10/2004","12/15/2004","12/21/2004","12/31/2006","6763 #9 Wilson Boulevard","Falls Church","22044","NULL","NULL"
"EHD - Rappahannock","Faith Seafood on Wheels","Faith Seafood on Wheels","DCOO-99XHM2","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Smoke Free","","NULL","7/22/2013","7/26/2013","7/26/2013","12/31/2014","15 Heron Dr. ##104","Fredericksburg","22406","NULL","NULL"
"EHD - Richmond","Domoishi","Domoishi","#REF!","Food Establishment","","Pending","3","NO","NO","Smoke Free","Grease Trap (interior)","4","11/14/2022","NULL","NULL","NULL","1106  West Main Street","Richmond","23220","NULL","NULL"
"EHD - Rappahannock","Angela’s Italian Restaurant","Angela's Italian Restaurant","RERN-4Z8JL4","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","3/14/2003","7/1/2001","1/1/2005","12/31/2012","5414 Mud Tavern Road","Thornburg","22565","NULL","NULL"
"EHD - Richmond","World Cup","World Cup","AGML-653LAF","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","","","NULL","8/12/2004","9/22/2004","1/1/2007","12/31/2007","26 North Morris Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Crossroads Coffee & Ice Cream","Crossroads Coffee & Ice Cream","HMES-75AL4M","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","7/11/2007","7/20/2007","4/26/2013","6/30/2014","26 North Morris Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Crossroads Coffee & Ice Cream","Crossroads Mobile Cafe","HMES-83LQQQ","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","None","NULL","3/16/2010","4/6/2010","4/6/2013","6/30/2014","26 North Morris Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Al’s Coffee Truck","Al's Coffee Truck","HMES-A28JEU","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Exempt","None","12","9/9/2015","9/29/2015","10/1/2015","9/30/2016","26 North Morris Street","Richmond","23220","NULL","NULL"
"EHD - Rappahannock","Pancho Villa Mexican Restaurant","Pancho Villa Mexican Restaurant","LHIL-59PP77","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","","","NULL","7/1/2003","7/1/2001","10/1/2004","12/31/2006","940 Bragg Road","Fredericksburg","22407","NULL","NULL"
"EHD - Rappahannock","Teen USA","Teen USA","RERN-5QDK7A","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","9/29/2004","1/1/2005","1/1/2004","12/31/2005","6232 Jefferson Davis Highway","Woodford","22580","NULL","NULL"
"EHD - Alleghany-Roanoke","126 Campbell Ave SW","The Sweet and Savory Cafe","KCHS-5AVMVU","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","5/12/2002","6/6/2002","6/6/2002","NULL","128 Campbell Ave SW","Roanoke","24011","NULL","NULL"
"EHD - Fairfax","Bambu Desserts & Drinks","Bambu Desserts & Drinks","ANAU-97GKQ2","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Smoke Free","None","12","5/6/2013","5/20/2013","5/31/2013","12/31/2019","6771 Wilson Bv Suite B","FALLS CHURCH","22044","NULL","NULL"
"EHD - Richmond","Nathan’s Famous and Auntie Anne’s","Nathan's Famous and Auntie Anne's","#REF!","Food Establishment","Fast Food Restaurant/Caterer","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","6/18/2018","9/17/2018","8/12/2021","9/30/2022","2401 Sheila Lane","Richmond","23225","NULL","NULL"
"EHD - Richmond","Bon Appetit Truck","Bon Appetit Truck","HMES-8W2HA5","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","NULL","7/5/2012","7/12/2012","10/1/2013","9/30/2014","2815 East Broad Street","Richmond","23223","NULL","NULL"
"EHD - Prince William","Harry O’s","Harry O's","AJOS-6D4P83","Food Establishment","Full Service Restaurant","Surrendered","1","","NULL","Smoke Free","Grease Trap (Interior)","12","6/6/2005","6/6/2005","5/13/2013","6/30/2014","522 C St","Quantico","22134","NULL","NULL"
"EHD - Rappahannock","The Schooler House Bed & Breakfast","The Schooler House Bed & Breakfast","DCOO-9D5MDU","Food Establishment","Bed & Breakfast Food Service","Surrendered","1","","NULL","Smoke Free","","12","11/20/2012","11/20/2012","1/1/2015","12/31/2015","1303 Caroline Street","Fredericksburg","22401","NULL","NULL"
"EHD - Rappahannock","Pizza Village","Pizza Village","DCOO-7MTLC4","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","","","NULL","12/29/2008","1/15/2009","1/15/2009","12/31/2010","754 Warrenton Road #105","Fredericksburg","22406","NULL","NULL"
"EHD - Richmond","The Stables","The Stables","#REF!","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","5/4/2017","5/11/2017","5/26/2022","3/31/2023","201 North Belmont Street","Richmond","23221","NULL","NULL"
"EHD - Richmond","Bill’s Barbecue","Bill's Barbecue","SYOG-58G23M","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","Other","NULL","1/1/2002","1/1/2002","4/1/2012","3/31/2013","927 Myers Street","Richmond","23230","NULL","NULL"
"EHD - Richmond","Village Cafe","The Village Cafe","SYOG-58G2CH","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Smoke Free","Grease Trap (Interior)","4","1/1/2002","1/1/2002","7/1/2016","6/30/2017","1001 West Grace Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Village Cafe","Village Cafe","SYOG-58G2CH","Food Establishment","Full Service Restaurant","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","1/1/2002","1/1/2002","6/3/2022","6/30/2023","1001 West Grace Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Taco Club","Taco Club","#REF!","Food Establishment","Mobile Food Unit","Business Closed","2","NO","NO","Smoke Free","Other","6","4/16/2019","2/24/2020","2/24/2020","1/31/2021","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Richmond Food Truck Hub","Richmond Food Truck Hub","#REF!","Food Establishment","Commissary","Permitted","2","NO","NO","Smoke Free","Other","6","8/21/2019","3/29/2019","3/28/2022","3/31/2023","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Richmond Food Truck Hub","Slice It Up RVA Pizza","760-FD-5346","Food Establishment","","Permitted","2","NO","NO","Exempt","Grease Trap (interior)","6","11/18/2020","NULL","12/22/2022","12/31/2023","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Cafe Beignet","Cafe Beignet","#REF!","Food Establishment","","Permitted","2","NO","YES","Exempt","Grease Trap (interior)","6","12/15/2020","12/21/2020","1/24/2023","12/31/2023","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Lone Wolf Coffee","Lone Wolf Coffee","#REF!","Food Establishment","","Business Closed","3","NO","YES","Smoke Free","Grease Trap (interior)","4","6/9/2020","NULL","7/1/2020","6/30/2021","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Land N Sea","Land N Sea","#REF!","Food Establishment","","Permitted","3","NO","YES","Exempt","Grease Trap (interior)","4","4/29/2022","5/2/2022","5/2/2022","3/31/2023","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Dank Eats","Dank Eats","#REF!","Food Establishment","","Business Closed","","NO","YES","Smoke Free","None","","10/3/2019","10/4/2019","10/4/2019","3/31/2020","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Stop n Go Food Cart","Stop n Go Food Cart","#REF!","Food Establishment","","Business Closed","2","NO","YES","Exempt","Grease Trap (interior)","6","3/8/2021","4/26/2021","4/26/2021","3/31/2022","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Pupuseria Reina","Pupuseria Reina","#REF!","Food Establishment","","Business Closed","2","NO","YES","Exempt","Grease Trap (interior)","","6/17/2021","7/8/2021","7/8/2021","6/30/2022","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Richmond","Tasty Cuisine by M & D","Tasty Cuisine by M & D","#REF!","Food Establishment","Mobile Food Unit","Permitted","2","NO","NO","Smoke Free","Other","6","3/28/2019","4/15/2019","6/2/2022","6/30/2023","133 East Belt Blvd","Richmond","23224","NULL","NULL"
"EHD - Prince William","Zed’s","Zed's","AJOS-7KLM9B","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","10/20/2008","12/3/2008","12/2/2010","12/3/2011","6850 Piedmont Center Plaza # C","Gainesville","20169","NULL","NULL"
"EHD - Alleghany-Roanoke","3008 Williamson Rd NW","Southern Manor Assisted Living Facility","KCHS-5FCS98","Food Establishment","Adult care homes","Surrendered","3","","NULL","Non-Smoking","","NULL","5/5/2003","6/1/2003","6/1/2003","5/31/2004","3008 Williamson Rd NW","Roanoke","24012","NULL","NULL"
"EHD - Alleghany-Roanoke","3008 Williamson Rd NW","Southern Manor Assisted Living Facility","KHAN-5S5JYX","Food Establishment","Adult Care Home Food Service","Surrendered","4","","NULL","Non-Smoking","","NULL","9/17/2003","9/25/2003","9/25/2005","9/24/2006","3008 Williamson Rd NW","Roanoke","24012","NULL","NULL"
"EHD - Richmond","Sushi Ninja","Sushi Ninja","AGML-76CRBC","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","8/23/2007","9/25/2007","9/25/2008","9/30/2009","204 N. Robinson Street","Richmond","23220","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Barkin Big Dog.(CLOSED)","07-195-Fee-Food-Barkin Big Dog","DVIS-74JLRA","Food Establishment","Mobile Food Unit","Surrendered","1","","NULL","Outdoor","","NULL","6/22/2007","6/22/2007","1/1/2009","12/31/2009","27580 Hillman Hwy","Meadowview","24361","NULL","NULL"
"EHD - Richmond","El Taco Loco","El Taco Loco","HMES-7SNN7S","Food Establishment","Carry Out Food Service Only","Surrendered","3","","NULL","Outdoor","None","NULL","6/3/2009","7/10/2009","7/10/2009","6/30/2010","4803B Midlothian Tpke","Richmond","23225","NULL","NULL"
"EHD - Richmond","Le Crepes","Le Crepes","HMES-96MS5Z","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Smoke Free","None","NULL","4/10/2013","4/11/2013","4/11/2013","6/30/2014","1110B East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Le Crepes","Le Crepes","HMES-96MS4K","Food Establishment","Full Service Restaurant","Surrendered","4","","NULL","Smoke Free","Grease Trap (Interior)","NULL","4/10/2013","4/11/2013","4/11/2013","6/30/2014","1110B East Main Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Richmond Wine Station","Richmond Wine Station","HMES-AMLTHN","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","None","6","5/22/2017","6/12/2017","8/31/2021","6/30/2022","2930-A  West Broad Street","Richmond","23230","NULL","NULL"
"EHD - Richmond","Black Hand Coffee Co","Black Hand Coffee Co","#REF!","Food Establishment","Other Food Service","Permitted","1","NO","NO","Smoke Free","Grease Trap (Interior)","12","11/20/2012","12/2/2012","12/13/2022","12/31/2023","3101 Patterson Ave","Richmond","23221","NULL","NULL"
"EHD - Richmond","Black Hand Coffee Co","Black Hand Coffee Co","#REF!","Food Establishment","Mobile Food Unit","Business Closed","1","NO","NO","Exempt","None","12","4/11/2016","4/14/2016","3/5/2020","3/31/2021","3101 Patterson Ave","Richmond","23221","NULL","NULL"
